i	f_sup	f_swg	f_swg_id	traj_params	h_max
427	[-2.0808204492932556, 5.8092767634935285, 0.3999999947845936, 1.5707963267948966]	[-2.3808204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-266.66666666667015, 16.000000000000103]	0.24
428	[-2.1308204492932554, 5.8092767634935285, 0.3999999947845936, 1.5707963267948966]	[-2.3808204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-157.37704918032952, 12.291540473558078]	0.24
429	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	[-2.0808204492932556, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Right	[-107.86516853932591, 10.175979648061059]	0.24
430	[-2.096727293572711, 5.710738902664041, 0.3999999947845936, 1.1707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-37.81421096540123, 6.02508444146513]	0.24
431	[-1.9669335428613772, 5.847682622039135, 0.3999999947845936, 1.3707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-71.44699453700846, 8.281854548078476]	0.24
432	[-2.0728869738773037, 5.828346892004991, 0.3999999947845936, 1.3707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-552.297253539553, 23.026188642456027]	0.24
433	[-2.015936871753439, 5.8576160885788875, 0.3999999947845936, 1.3707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-220.90040056166154, 14.5624305848713]	0.24
434	[-2.047723964680649, 5.700805436124289, 0.3999999947845936, 1.1707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-32.56669806394565, 5.591424696925447]	0.24
435	[-2.0848071337250076, 5.769542897334516, 0.3999999947845936, 1.5707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-96.3590558913033, 9.617936039278446]	0.24
436	[-2.035803804832945, 5.759609430794764, 0.3999999947845936, 1.3707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-68.3107637737704, 8.09804502474638]	0.24
437	[-2.096727293572711, 5.710738902664041, 0.3999999947845936, 1.3707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-37.81421096540123, 6.02508444146513]	0.24
438	[-2.3298237781853177, 5.819210230033281, 0.3999999947845936, 1.1707963267948966]	[-2.096727293572711, 5.710738902664041, 0.3999999947845936, 1.3707963267948966]	Right	[-384.0000000000029, 19.200000000000074]	0.24
439	[-1.9748803160931796, 5.808479958925485, 0.3999999947845936, 1.1707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-64.34504701959847, 7.859468502310733]	0.24
440	[-2.1824576154322757, 5.831099967747042, 0.3999999947845936, 1.3707963267948966]	[-1.9748803160931796, 5.808479958925485, 0.3999999947845936, 1.1707963267948966]	Right	[-94.567311574607, 9.5280963005011]	0.24
441	[-1.9748803160931796, 5.808479958925485, 0.3999999947845936, 1.5707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-64.34504701959847, 7.859468502310733]	0.24
442	[-2.0728869738773037, 5.828346892004991, 0.3999999947845936, 1.5707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-552.297253539553, 23.026188642456027]	0.24
443	[-2.0238836449852418, 5.818413425465238, 0.3999999947845936, 1.5707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-164.6971958622562, 12.5741523781035]	0.24
444	[-2.0848071337250076, 5.769542897334516, 0.3999999947845936, 1.1707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-96.3590558913033, 9.617936039278446]	0.24
445	[-1.9868004759408833, 5.74967596425501, 0.3999999947845936, 1.5707963267948966]	[-2.280820449293256, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	Left	[-41.47924212122726, 6.310314765237798]	0.24
446	[-2.030820449293256, 5.669276763493529, 0.3999999947845936, 1.5707963267948966]	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-66.94508431189686, 8.01668765385187]	0.24
447	[-2.030820449293256, 5.789276763493528, 0.3999999947845936, 1.3707963267948966]	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-26725.99841707991, 160.17789635401232]	0.24
448	[-2.0808204492932556, 5.829276763493528, 0.3999999947845936, 1.5707963267948966]	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-268.9186002799429, 16.06741597982529]	0.24
449	[-2.0808204492932556, 5.789276763493528, 0.3999999947845936, 1.5707963267948966]	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-495.3771468662451, 21.80738546895513]	0.24
450	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	[-2.0808204492932556, 5.789276763493528, 0.3999999947845936, 1.5707963267948966]	Right	[0]	0
451	[-2.1308204492932554, 5.669276763493529, 0.3999999947845936, 1.5707963267948966]	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-41.47924212122726, 6.310314765237798]	0.24
452	[-2.5630366565289853, 3.839585100132892, 0.20000000670552254, 1.3707963267948966]	[-2.2570965233289093, 3.838788295564848, 0.20000000670552254, 1.3707963267948966]	Right	[-701.1729117432415, 25.944671808938185]	0.24
453	[-2.3180200120686747, 3.7899177674341264, 0.20000000670552254, 1.1707963267948966]	[-2.5630366565289853, 3.839585100132892, 0.20000000670552254, 1.3707963267948966]	Left	[-157.3770491803293, 12.291540473558069]	0.24
454	[-2.367023340960737, 3.7998512339738797, 0.20000000670552254, 1.3707963267948966]	[-2.5630366565289853, 3.839585100132892, 0.20000000670552254, 1.3707963267948966]	Left	[-70.58823529411784, 8.231932086840436]	0.24
455	[-2.672963474160813, 3.8006480385419237, 0.20000000670552254, 1.5707963267948966]	[-2.367023340960737, 3.7998512339738797, 0.20000000670552254, 1.3707963267948966]	Right	[-70.58823529411784, 8.231932086840436]	0.24
456	[-2.422963474160813, 3.8606480385419237, 0.20000000670552254, 1.5707963267948966]	[-2.672963474160813, 3.8006480385419237, 0.20000000670552254, 1.5707963267948966]	Left	[-140.64800745666042, 11.61990047971126]	0.24
457	[-2.722963474160813, 3.8606480385419237, 0.20000000670552254, 1.5707963267948966]	[-2.422963474160813, 3.8606480385419237, 0.20000000670552254, 1.5707963267948966]	Right	[-157.37704918032816, 12.291540473558024]	0.24
458	[-2.5229634741608127, 3.8006480385419237, 0.20000000670552254, 1.7707963267948965]	[-2.722963474160813, 3.8606480385419237, 0.20000000670552254, 1.5707963267948966]	Left	[-70.588235294118, 8.231932086840445]	0.24
459	[-2.7679801186211233, 3.7509807058431583, 0.20000000670552254, 1.9707963267948965]	[-2.5229634741608127, 3.8006480385419237, 0.20000000670552254, 1.7707963267948965]	Right	[-68.31076377376945, 8.098045024746323]	0.24
